企画 きかく 기획
怖い こわい 무섭다
再度 さいど 다시
湿る しめる 축축해지다
処理 しょり 처리
総額 そうがく 총액
抽選 ちゅうせん 추첨
和やか なごやか 온화함
離れる はなれる 멀어지다
冷蔵庫 れいぞうこ 냉장고
若い わかい 어리다
抱える かかえる 떠안다
求人 きゅうじん 구인
絞る いぼる 조이다
柔軟に じゅうなんに 유연하게
垂直 すいちょく 수직
強火 つよび 센불
握る にぎる 쥐다
乱れる みだれる 흐트러지다
怪しい あやしい 수상하다
納める おさめる 납입하다
劣る おとる 뒤떨어지다
願望 がんぼう 소원
競う きそう 겨루다
貴重 きちょう 귀중함
治療 ちりょう 치료
伴う ともなう 동반하다
批評 ひひょう 비평
容姿 ようし 용모
囲む かこむ 둘러싸다
行事 ぎょうじ 행사
拒否 きょひ 거부
現象 げんしょう 현상
省略 しょうりゃく 생략
損害 そんがい 손해
乏しい とぼしい 부족하다
憎い にくい 밉다
含める ふくめる 포함하다
油断 ゆだん 방심
圧勝 あっしょう 압승
傷む いたむ 상하다
大幅 おおはば 큰폭
極端 きょくたん 극단
悔しい くやしい 분하다
継続 けいぞく 계속
除く のぞく 제거하다
貿易 ぼうえき 무역
戻す もどす 되돌리다
幼稚 ようち 유치
改めて あらためて 다시
拡充 かくじゅう 확충
隠す かくす 숨기다
勧誘 かんゆう 권유
姿勢 しせい 자세
清潔 せいけつ 청결
積む つむ 쌓다
逃亡 逃亡 도망
模範 もはん 모범
世の中 よのなか 세상
削除 さくじょ 삭제
撮影 さつえい 촬영
占める しめる 차지하다
焦点 しょうてん 초점
装置 そうち 장치
抽象的 ちゅうしょうてき 추상적
破片 はへん 파편
針 はり 바늘
返却 へんきゃく 반납
略する りゃくする 생략하다
祝う いわう 축하하다
補う おぎなう 보충하다
至急 しきゅう 시급
地元 じもと 그고장
率直 そっちょく 솔직함
調節 ちょうせつ 조절
豊富 ほうふ 풍부함
密接 みっせつ 밀접함
敗れる やぶれる 패배하다
要求 ようきゅう 요구
辛い からい 맵다
規模 きぼ 규모
景色 けしき 경치
相互 そうご 상호
備える そなえる 비치하다
尊重 そんちょう 존중
隣 となり 옆
触れる ふれる 접하다
防災 ぼうさい 방재
与える あたえる 주다
温かい ああたかい 다정하다
誤り あやまり 오류
案外 あんがい 의외로
言い難い いいがたい 말하기어렵다
異常 いじょう 이상
移転 いてん 이전
祈る いのる 기도하다
違反 いはん 위반
医療 いりょう 의료
印刷 いんさつ 인쇄
植木 うえき 정원수
浮く うく 뜨다
疑い うたがい 의심
宇宙 うちゅう 우주
運送 うんそう 운송
偉い えらい 훌륭하다
得る える 얻다
延期 えんき 연기
応援 おうえん 응원
応対 おうたい 응대
欧米 おうべい 구미
～億 おく ~억
置く おく 놓다
怒る おこる 화내다
幼い おさない 어리다
踊り おどり 춤
主だ おもだ 주됨
改善 かいぜん 개선
快適 かいてき 쾌적함
回復 かいふく 회복
重ねる かさねる 거듭하다
賢い かしこい 현명하다
傾く かたむく 기울다
仮定 かてい 가정
可能性 かのうせい 가능성
貨物 かもつ 화물
観察 かんさつ 관찰
乾燥 かんそう 건조
缶詰 かんづめ 통조림
完了 かんりょう 완료
危険 きけん 위험
機嫌 きげん 기분
記事 きじ 기사
規制 きせい 규제
決まる きまる 결정되다
客 きゃく 손님
休息 きゅうそく 휴식
共感 きょうかん 공감
協力 きょうりょく 협력
漁業 ぎょぎょう 어업
記録 きろく 기록
議論 ぎろん 의논
空港 くうこう 공항
靴 くつ 구두
雲 くも 구름
暮す くらす 생활하다
芸能 げいのう 예능
警備 けいび 경비
結果 けっか 결과
険しい けわしい 험악하다
原因 げんいん 원인
厳重 げんじゅう 엄중함
建設 けんせつ 건설
公園 こうえん 강연
郊外 こうがい 교외
公害 こうがい 공해
交差点 こうさてん 교차로
高層 こうそう 고층
声 こえ 목소리
越える こえる 초월하다
氷 こおり 얼음
故郷 こきょう 고향
小包 こづつみ 소포
異なる ことなる 다르다
混乱 こんらん 혼란
裁判 さいばん 재판
再利用 さいりよう 재이용
幸だ さいわいだ 다행임
作業 さぎょう 작업
寒い さむい 춥다
参考 さんこう 참고
内容 ないよう 내용
日課 にっか 일과
熱演 ねつえん 열연
販売 はんばい 판매
方針 ほうしん 방침
掘る ほる 파다
連絡 れんらく 연락
